,STATE_NAME,DISYR,Gender_Type,count
266,FLORIDA,2011.0,Female,5503
267,FLORIDA,2011.0,Male,9928
268,FLORIDA,2012.0,Female,1630
269,FLORIDA,2012.0,Male,2776
270,FLORIDA,2015.0,Female,2610
271,FLORIDA,2015.0,Male,4119
272,FLORIDA,2016.0,Female,3322
273,FLORIDA,2016.0,Male,4796
274,FLORIDA,2017.0,Female,1978
275,FLORIDA,2017.0,Male,2913
276,FLORIDA,2018.0,Female,13221
277,FLORIDA,2018.0,Male,18075
278,FLORIDA,2019.0,Female,9658
279,FLORIDA,2019.0,Male,11274
280,HAWAII ,2009.0,Female,1249
281,HAWAII ,2009.0,Male,1963
282,HAWAII ,2010.0,Female,1423
283,HAWAII ,2010.0,Male,2157
284,HAWAII ,2011.0,Female,1381
285,HAWAII ,2011.0,Male,2217
286,HAWAII ,2012.0,Female,1437
287,HAWAII ,2012.0,Male,2262
288,HAWAII ,2013.0,Female,1404
289,HAWAII ,2013.0,Male,2204
290,HAWAII ,2014.0,Female,1361
291,HAWAII ,2014.0,Male,1963
292,HAWAII ,2015.0,Female,1246
293,HAWAII ,2015.0,Male,1771
294,HAWAII ,2016.0,Female,1207
295,HAWAII ,2016.0,Male,1712
296,HAWAII ,2017.0,Female,1162
297,HAWAII ,2017.0,Male,1648
298,HAWAII ,2018.0,Female,840
299,HAWAII ,2018.0,Male,1239
300,HAWAII ,2019.0,Female,979
301,HAWAII ,2019.0,Male,1162
302,IDAHO,2009.0,-9.0,7
303,IDAHO,2009.0,Female,917
304,IDAHO,2009.0,Male,1992
305,IDAHO,2010.0,-9.0,1
306,IDAHO,2010.0,Female,215
307,IDAHO,2010.0,Male,285
308,IDAHO,2011.0,-9.0,2
309,IDAHO,2011.0,Female,1289
310,IDAHO,2011.0,Male,1986
311,IDAHO,2012.0,-9.0,4
312,IDAHO,2012.0,Female,1268
313,IDAHO,2012.0,Male,2401
314,IDAHO,2013.0,Female,1099
315,IDAHO,2013.0,Male,2147
316,IDAHO,2014.0,Female,1325
317,IDAHO,2014.0,Male,2739
318,IDAHO,2015.0,Female,1520
319,IDAHO,2015.0,Male,3173
320,IDAHO,2016.0,Female,1245
321,IDAHO,2016.0,Male,2791
322,IDAHO,2017.0,Female,1409
323,IDAHO,2017.0,Male,2978
324,IDAHO,2018.0,Female,1248
325,IDAHO,2018.0,Male,2628
326,IDAHO,2019.0,Female,1582
327,IDAHO,2019.0,Male,3244
328,ILLINOIS ,2009.0,Female,9337
329,ILLINOIS ,2009.0,Male,18778
330,ILLINOIS ,2010.0,Female,14229
331,ILLINOIS ,2010.0,Male,26880
332,ILLINOIS ,2011.0,Female,14151
333,ILLINOIS ,2011.0,Male,26040
334,ILLINOIS ,2012.0,Female,7947
335,ILLINOIS ,2012.0,Male,14232
336,ILLINOIS ,2013.0,Female,6994
337,ILLINOIS ,2013.0,Male,12671
338,ILLINOIS ,2014.0,Female,6187
339,ILLINOIS ,2014.0,Male,11250
340,ILLINOIS ,2015.0,Female,5161
341,ILLINOIS ,2015.0,Male,9472
342,ILLINOIS ,2016.0,Female,3776
343,ILLINOIS ,2016.0,Male,6734
344,ILLINOIS ,2017.0,Female,5413
345,ILLINOIS ,2017.0,Male,11168
346,ILLINOIS ,2018.0,Female,5674
347,ILLINOIS ,2018.0,Male,11403
348,ILLINOIS ,2019.0,Female,4618
349,ILLINOIS ,2019.0,Male,9761
350,INDIANA,2009.0,Female,3507
351,INDIANA,2009.0,Male,7386
352,INDIANA,2010.0,Female,3168
353,INDIANA,2010.0,Male,6234
354,INDIANA,2011.0,Female,7173
355,INDIANA,2011.0,Male,13208
356,INDIANA,2012.0,Female,7697
357,INDIANA,2012.0,Male,13512
358,INDIANA,2013.0,Female,8042
359,INDIANA,2013.0,Male,13745
360,INDIANA,2014.0,Female,8222
361,INDIANA,2014.0,Male,13327
362,INDIANA,2015.0,Female,7117
363,INDIANA,2015.0,Male,11406
364,INDIANA,2016.0,Female,5606
365,INDIANA,2016.0,Male,8518
366,INDIANA,2017.0,Female,6420
367,INDIANA,2017.0,Male,9693
368,INDIANA,2018.0,Female,6528
369,INDIANA,2018.0,Male,9461
370,INDIANA,2019.0,Female,4389
371,INDIANA,2019.0,Male,6306
372,IOWA,2009.0,Female,4978
373,IOWA,2009.0,Male,11766
374,IOWA,2010.0,Female,5677
375,IOWA,2010.0,Male,13032
376,IOWA,2011.0,-9.0,1
377,IOWA,2011.0,Female,5332
378,IOWA,2011.0,Male,12294
379,IOWA,2012.0,-9.0,1
380,IOWA,2012.0,Female,5576
381,IOWA,2012.0,Male,12102
382,IOWA,2013.0,-9.0,4
383,IOWA,2013.0,Female,5966
384,IOWA,2013.0,Male,12760
385,IOWA,2014.0,-9.0,3
386,IOWA,2014.0,Female,5588
387,IOWA,2014.0,Male,11821
388,IOWA,2015.0,-9.0,4
389,IOWA,2015.0,Female,5382
390,IOWA,2015.0,Male,11928
391,IOWA,2016.0,-9.0,6
392,IOWA,2016.0,Female,5484
393,IOWA,2016.0,Male,11145
394,IOWA,2017.0,-9.0,7
395,IOWA,2017.0,Female,5415
396,IOWA,2017.0,Male,10688
397,IOWA,2018.0,-9.0,23
398,IOWA,2018.0,Female,5543
399,IOWA,2018.0,Male,10431
400,IOWA,2019.0,-9.0,35
401,IOWA,2019.0,Female,5529
402,IOWA,2019.0,Male,10089
403,KENTUCKY,2009.0,-9.0,7
404,KENTUCKY,2009.0,Female,3928
405,KENTUCKY,2009.0,Male,5272
406,KENTUCKY,2010.0,-9.0,22
407,KENTUCKY,2010.0,Female,10309
408,KENTUCKY,2010.0,Male,9798
409,KENTUCKY,2011.0,-9.0,6
410,KENTUCKY,2011.0,Female,11468
411,KENTUCKY,2011.0,Male,9835
412,KENTUCKY,2012.0,-9.0,8
413,KENTUCKY,2012.0,Female,12727
414,KENTUCKY,2012.0,Male,10319
415,KENTUCKY,2013.0,-9.0,13
416,KENTUCKY,2013.0,Female,12478
417,KENTUCKY,2013.0,Male,9631
418,KENTUCKY,2014.0,-9.0,2
419,KENTUCKY,2014.0,Female,13031
420,KENTUCKY,2014.0,Male,11599
421,KENTUCKY,2015.0,-9.0,9
422,KENTUCKY,2015.0,Female,15472
423,KENTUCKY,2015.0,Male,16185
424,KENTUCKY,2016.0,-9.0,6
425,KENTUCKY,2016.0,Female,16063
426,KENTUCKY,2016.0,Male,16388
427,KENTUCKY,2017.0,-9.0,1
428,KENTUCKY,2017.0,Female,19307
429,KENTUCKY,2017.0,Male,17584
430,KENTUCKY,2018.0,-9.0,15
431,KENTUCKY,2018.0,Female,27811
432,KENTUCKY,2018.0,Male,24058
433,KENTUCKY,2019.0,-9.0,24
434,KENTUCKY,2019.0,Female,25948
435,KENTUCKY,2019.0,Male,22331
436,LOUISIANA,2009.0,Female,2819
437,LOUISIANA,2009.0,Male,6709
438,LOUISIANA,2010.0,Female,2963
439,LOUISIANA,2010.0,Male,6870
440,LOUISIANA,2011.0,Female,2853
441,LOUISIANA,2011.0,Male,6394
442,LOUISIANA,2012.0,-9.0,57
443,LOUISIANA,2012.0,Female,1448
444,LOUISIANA,2012.0,Male,3442
445,LOUISIANA,2013.0,-9.0,151
446,LOUISIANA,2013.0,Female,1059
447,LOUISIANA,2013.0,Male,2210
448,LOUISIANA,2014.0,-9.0,19
449,LOUISIANA,2014.0,Female,993
450,LOUISIANA,2014.0,Male,1809
451,LOUISIANA,2015.0,-9.0,9
452,LOUISIANA,2015.0,Female,751
453,LOUISIANA,2015.0,Male,1339
454,LOUISIANA,2016.0,-9.0,3
455,LOUISIANA,2016.0,Female,1740
456,LOUISIANA,2016.0,Male,2646
457,LOUISIANA,2017.0,-9.0,7
458,LOUISIANA,2017.0,Female,3033
459,LOUISIANA,2017.0,Male,4237
460,LOUISIANA,2018.0,-9.0,4
