,state,year,discharge_rate,row
158,MARYLAND,2011.0,69.90078841148289,316
159,MARYLAND,2012.0,65.80265654648957,318
160,MARYLAND,2013.0,62.625963248369885,320
161,MARYLAND,2014.0,65.483278864664,322
162,MARYLAND,2016.0,48.900375939849624,324
163,MARYLAND,2018.0,47.14554389370867,326
164,MASSACHUSETTS,2009.0,51.772906354177195,328
165,MASSACHUSETTS,2010.0,51.19892576251679,330
166,MASSACHUSETTS,2011.0,51.58100676818951,332
167,MASSACHUSETTS,2012.0,49.503771337832475,334
168,MASSACHUSETTS,2013.0,46.79320373488443,336
169,MASSACHUSETTS,2014.0,44.60584752035529,338
170,MASSACHUSETTS,2015.0,48.576461431321945,340
171,MASSACHUSETTS,2017.0,49.387404493874044,342
172,MASSACHUSETTS,2019.0,64.65929053533455,344
173,MICHIGAN ,2009.0,66.36339038084286,346
174,MICHIGAN ,2010.0,70.61134051767549,348
175,MICHIGAN ,2011.0,64.13358978842454,350
176,MICHIGAN ,2012.0,68.22686850858733,352
177,MICHIGAN ,2013.0,59.727224897810515,354
178,MICHIGAN ,2014.0,67.4389233137309,356
179,MICHIGAN ,2016.0,53.453057165260965,358
180,MICHIGAN ,2018.0,50.90495285574943,360
181,MINNESOTA,2009.0,51.25725338491296,362
182,MINNESOTA,2010.0,53.56371490280778,364
183,MINNESOTA,2011.0,53.44827586206896,366
184,MINNESOTA,2012.0,49.9290780141844,368
185,MINNESOTA,2013.0,49.52274003368894,370
186,MINNESOTA,2014.0,50.88582677165354,372
187,MINNESOTA,2015.0,53.4811286185416,374
188,MINNESOTA,2017.0,45.497630331753555,376
189,MINNESOTA,2019.0,79.58311976764053,378
190,MISSOURI,2009.0,56.94262165992966,380
191,MISSOURI,2010.0,54.45855867186518,382
192,MISSOURI,2011.0,68.75,384
193,MISSOURI,2012.0,63.78024123265704,386
194,MISSOURI,2013.0,63.13204941302847,388
195,MISSOURI,2014.0,75.50384863975556,390
196,MISSOURI,2016.0,49.94343891402715,392
197,MISSOURI,2018.0,49.65408183435461,394
198,MONTANA,2009.0,29.706317346291993,396
199,MONTANA,2010.0,31.209362808842656,398
200,MONTANA,2011.0,35.65149443250635,400
