,DISYR,STATE_NAME,Imp_Year,count
374,2017.0,SOUTH DAKOTA,Never,4842
375,2017.0,TENNESSEE,Never,1878
376,2017.0,TEXAS,Never,7524
377,2017.0,UTAH,Never,6588
378,2017.0,VERMONT,2014,5456
379,2017.0,WISCONSIN,Never,4447
380,2017.0,WYOMING,Never,1653
381,2018.0, KANSAS,Never,4688
382,2018.0,ALABAMA,Never,4648
383,2018.0,ALASKA,2015,3226
384,2018.0,ARIZONA,2014,128520
385,2018.0,ARKANSAS,2014,4915
386,2018.0,CALIFORNIA,2014,66488
387,2018.0,COLORADO,2014,16014
388,2018.0,CONNECTICUT,2014,23313
389,2018.0,DELAWARE,2014,3535
390,2018.0,DISTRICT OF COLUMBIA,2014,1053
391,2018.0,FLORIDA,Never,31296
392,2018.0,HAWAII ,2014,2079
393,2018.0,IDAHO,Never,3876
394,2018.0,ILLINOIS ,2014,17077
395,2018.0,INDIANA,2015,15989
396,2018.0,IOWA,2014,15997
397,2018.0,KENTUCKY,2014,51884
398,2018.0,LOUISIANA,2016,6568
399,2018.0,MAINE,Never,3609
400,2018.0,MARYLAND,2014,17424
401,2018.0,MASSACHUSETTS,2014,10924
402,2018.0,MICHIGAN ,2014,31710
403,2018.0,MINNESOTA,2014,2592
404,2018.0,MISSOURI,Never,12735
405,2018.0,MONTANA,2016,874
406,2018.0,NEBRASKA,Never,6072
407,2018.0,NEVADA,2014,2747
408,2018.0,NEW HAMPSHIRE ,2014,2075
409,2018.0,NEW JERSEY,2014,30035
410,2018.0,NEW MEXICO ,2014,85
411,2018.0,NEW YORK,2014,120368
412,2018.0,NORTH CAROLINA,Never,80180
413,2018.0,OHIO,2014,15349
414,2018.0,OKLAHOMA,Never,9285
415,2018.0,PENNSYLVANIA,2015,10750
416,2018.0,RHODE ISLAND,2014,4022
417,2018.0,SOUTH DAKOTA,Never,5574
418,2018.0,TENNESSEE,Never,1666
419,2018.0,TEXAS,Never,13668
420,2018.0,UTAH,Never,7697
421,2018.0,VERMONT,2014,6315
422,2018.0,WISCONSIN,Never,5180
423,2018.0,WYOMING,Never,1821
424,2019.0, KANSAS,Never,2190
425,2019.0,ALABAMA,Never,6671
426,2019.0,ALASKA,2015,3812
427,2019.0,ARIZONA,2014,130447
428,2019.0,ARKANSAS,2014,5222
429,2019.0,CALIFORNIA,2014,77657
430,2019.0,COLORADO,2014,16560
431,2019.0,CONNECTICUT,2014,25906
432,2019.0,DELAWARE,2014,2357
433,2019.0,DISTRICT OF COLUMBIA,2014,962
434,2019.0,FLORIDA,Never,20932
435,2019.0,HAWAII ,2014,2141
436,2019.0,IDAHO,Never,4826
437,2019.0,ILLINOIS ,2014,14379
438,2019.0,INDIANA,2015,10695
439,2019.0,IOWA,2014,15653
440,2019.0,KENTUCKY,2014,48303
441,2019.0,LOUISIANA,2016,5798
442,2019.0,MAINE,Never,3508
443,2019.0,MARYLAND,2014,15542
444,2019.0,MASSACHUSETTS,2014,11467
445,2019.0,MICHIGAN ,2014,32879
446,2019.0,MINNESOTA,2014,2390
447,2019.0,MISSOURI,Never,12560
448,2019.0,MONTANA,2016,539
449,2019.0,NEBRASKA,Never,5684
450,2019.0,NEVADA,2014,3749
451,2019.0,NEW HAMPSHIRE ,2014,990
452,2019.0,NEW JERSEY,2014,30327
453,2019.0,NEW MEXICO ,2014,183
454,2019.0,NEW YORK,2014,116482
455,2019.0,NORTH CAROLINA,Never,101410
456,2019.0,NORTH DAKOTA,2014,80
