,DISYR,STATE_NAME,Imp_Year,count
238,2018.0,ILLINOIS ,2014,921
239,2018.0,IOWA,2014,15137
240,2018.0,KENTUCKY,2014,50796
241,2018.0,LOUISIANA,2016,727
242,2018.0,MAINE,Never,3119
243,2018.0,MARYLAND,2014,9083
244,2018.0,MISSOURI,Never,11682
245,2018.0,MONTANA,2016,859
246,2018.0,NEBRASKA,Never,1902
247,2018.0,NEVADA,2014,652
248,2018.0,NEW HAMPSHIRE ,2014,1684
249,2018.0,NEW JERSEY,2014,25419
250,2018.0,NEW MEXICO ,2014,6
251,2018.0,OHIO,2014,12587
252,2018.0,PENNSYLVANIA,2015,7227
253,2018.0,RHODE ISLAND,2014,2207
254,2018.0,SOUTH DAKOTA,Never,4955
255,2018.0,UTAH,Never,7125
256,2018.0,WYOMING,Never,1743
257,2019.0, KANSAS,Never,151
258,2019.0,ALABAMA,Never,1111
259,2019.0,ALASKA,2015,3174
260,2019.0,ARKANSAS,2014,4202
261,2019.0,COLORADO,2014,11909
262,2019.0,DELAWARE,2014,63
263,2019.0,DISTRICT OF COLUMBIA,2014,825
264,2019.0,HAWAII ,2014,1634
265,2019.0,IDAHO,Never,3513
266,2019.0,ILLINOIS ,2014,9192
267,2019.0,IOWA,2014,14762
268,2019.0,KENTUCKY,2014,47162
269,2019.0,LOUISIANA,2016,816
270,2019.0,MAINE,Never,2859
271,2019.0,MARYLAND,2014,9167
272,2019.0,MISSOURI,Never,11534
273,2019.0,MONTANA,2016,536
274,2019.0,NEBRASKA,Never,1759
275,2019.0,NEVADA,2014,668
276,2019.0,NEW HAMPSHIRE ,2014,877
277,2019.0,NEW JERSEY,2014,20467
278,2019.0,NEW MEXICO ,2014,19
279,2019.0,NORTH DAKOTA,2014,1
280,2019.0,OHIO,2014,8239
281,2019.0,PENNSYLVANIA,2015,8049
282,2019.0,RHODE ISLAND,2014,3077
283,2019.0,SOUTH DAKOTA,Never,5307
284,2019.0,UTAH,Never,6534
285,2019.0,WYOMING,Never,2001
