,state,year,medicaid_use,row
142,LOUISIANA,2010.0,0.6530527625168446,710
143,LOUISIANA,2011.0,0.4279131007241606,715
144,LOUISIANA,2012.0,0.7750435962022864,720
145,LOUISIANA,2013.0,2.7594481103779245,725
146,LOUISIANA,2014.0,2.791779759596743,730
147,LOUISIANA,2015.0,1.638001638001638,735
148,LOUISIANA,2016.0,1.8713450292397662,740
149,LOUISIANA,2017.0,2.992731936725096,745
150,LOUISIANA,2018.0,3.009575923392613,750
151,LOUISIANA,2019.0,4.771784232365145,755
152,MAINE,2009.0,99.2251461988304,760
153,MAINE,2010.0,46.15446695181987,765
154,MAINE,2011.0,0.09428032683846638,770
155,MAINE,2012.0,0.22969647251845776,775
156,MAINE,2013.0,0.6530773797743914,780
157,MAINE,2014.0,1.9575406672180866,785
158,MAINE,2015.0,22.32641214556821,790
159,MAINE,2016.0,31.503298774740813,795
160,MAINE,2017.0,29.10586362430353,800
161,MAINE,2018.0,25.848275862068963,805
162,MAINE,2019.0,0.8004920097230493,810
163,MARYLAND,2013.0,41.52081118392866,815
164,MARYLAND,2015.0,0.6036341238065907,820
165,MARYLAND,2016.0,0.4546028538956939,825
166,MARYLAND,2017.0,0.35626041487099924,830
167,MARYLAND,2018.0,0.7445442875481386,835
168,MARYLAND,2019.0,0.10558600231283623,840
169,MASSACHUSETTS,2012.0,23.493203385483458,845
170,MASSACHUSETTS,2017.0,12.052408328488685,850
171,MICHIGAN ,2011.0,24.22949448643291,855
172,MICHIGAN ,2016.0,20.641166991773385,860
173,MINNESOTA,2010.0,12.770652323817405,865
174,MINNESOTA,2015.0,18.744924326319676,870
175,MISSOURI,2009.0,8.61970544582715,875
176,MISSOURI,2010.0,10.38200011056443,880
177,MISSOURI,2011.0,14.10566037735849,885
178,MISSOURI,2012.0,16.321192702543648,890
179,MISSOURI,2013.0,15.767218519314843,895
180,MISSOURI,2014.0,15.197225135113335,900
181,MISSOURI,2015.0,15.56420233463035,905
182,MISSOURI,2016.0,16.618861364624077,910
183,MISSOURI,2017.0,14.905479571391236,915
184,MISSOURI,2018.0,11.49587750294464,920
185,MISSOURI,2019.0,11.0828025477707,925
